OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
GSAT-18,2016-060A,41793,PAY,+,IND,10/5/2016,FRGUI,,1436.09,0.06,35794,35779,0.003,,EA,ORB
RISAT-1 DEB,2012-017C,41797,DEB,D,IND,4/26/2012,SRILR,10/12/2016,92.45,97.56,409,381,0.0312,,EA,IMP
RESOURCESAT-2A,2016-074A,41877,PAY,+,IND,12/7/2016,SRILR,,101.29,98.78,821,819,4.155,,EA,ORB
PSLV R/B,2016-074B,41878,R/B,,IND,12/7/2016,SRILR,,101.12,98.64,814,809,5.459,,EA,ORB
CARTOSAT-2D,2017-008A,41948,PAY,+,IND,2/15/2017,SRILR,,94.78,97.44,511,504,2.2262,,EA,ORB
INS-1A,2017-008B,41949,PAY,D,IND,2/15/2017,SRILR,9/30/2023,87.45,97.16,157,140,0.0994,,EA,IMP
INS-1B,2017-008G,41954,PAY,D,IND,2/15/2017,SRILR,10/11/2023,87.4,97.16,156,136,0.121,,EA,IMP
PSLV R/B,2017-008DJ,42052,R/B,D,IND,2/15/2017,SRILR,10/6/2024,88.39,97.2,201,188,6.128,,EA,IMP
GSAT-9,2017-024A,42695,PAY,+,IND,5/5/2017,SRILR,,1436.09,0.01,35795,35777,,,EA,ORB
GSLV R/B,2017-024B,42696,R/B,D,IND,5/5/2017,SRILR,10/10/2017,103.44,20.24,1737,106,,,EA,IMP
GSAT-19,2017-031A,42747,PAY,+,IND,6/5/2017,SRILR,,1436.11,0.09,35794,35779,,,EA,ORB
GSLV R/B,2017-031B,42748,R/B,D,IND,6/5/2017,SRILR,2/8/2018,100.6,21.44,1481,93,,,EA,IMP
NIUSAT,2017-036B,42766,PAY,D,IND,6/23/2017,SRILR,4/27/2024,87.96,97.08,180,167,,,EA,IMP
CARTOSAT-2E,2017-036C,42767,PAY,+,IND,6/23/2017,SRILR,,94.78,97.46,510,506,,,EA,ORB
PSLV R/B,2017-036AH,42796,R/B,D,IND,6/23/2017,SRILR,7/24/2018,87.31,94.59,146,136,,,EA,IMP
PSLV DEB,2017-036AJ,42797,DEB,D,IND,6/23/2017,SRILR,9/26/2018,90.64,97.4,313,298,,,EA,IMP
GSAT-17,2017-040B,42815,PAY,+,IND,6/28/2017,FRGUI,,1436.11,0.04,35816,35758,,,EA,ORB
IRNSS-1H & PSLV R/B,2017-051A,42928,PAY,D,IND,8/31/2017,SRILR,3/2/2019,89.12,19.13,334,128,,,EA,IMP
PSLV DEB,2017-051B,42929,DEB,D,IND,8/31/2017,SRILR,12/5/2017,156.73,19.14,6332,170,,,EA,IMP
PSLV DEB,2017-051C,42930,DEB,D,IND,8/31/2017,SRILR,12/5/2017,153.91,19.18,6103,168,,,EA,IMP
PSLV DEB,2017-008DK,43106,DEB,D,IND,2/15/2017,SRILR,11/2/2018,88.18,97.42,192,177,,,EA,IMP
CARTOSAT-2F,2018-004A,43111,PAY,+,IND,1/12/2018,SRILR,,94.78,97.43,509,507,,,EA,ORB
PSLV DEB,2018-004B,43112,DEB,D,IND,1/12/2018,SRILR,10/30/2022,88.17,97.34,192,176,,,EA,IMP
INS-1C,2018-004F,43116,PAY,D,IND,1/12/2018,SRILR,11/14/2023,88.38,97.31,201,188,,,EA,IMP
MICROSAT-TD,2018-004T,43128,PAY,D,IND,1/12/2018,SRILR,11/27/2020,87.59,96.55,161,149,,,EA,IMP
PSLV R/B,2018-004U,43129,R/B,D,IND,1/12/2018,SRILR,1/17/2019,87.24,97.14,142,133,,,EA,IMP
GSAT-6A,2018-027A,43241,PAY,-,IND,3/29/2018,SRILR,,1206.87,2.85,36085,26257,,,EA,ORB
GSLV R/B,2018-027B,43242,R/B,D,IND,3/29/2018,SRILR,12/4/2019,95.9,20.19,1019,104,,,EA,IMP
IRNSS-1I,2018-035A,43286,PAY,+,IND,4/11/2018,SRILR,,1436.09,29.15,35878,35695,,,EA,ORB
PSLV R/B,2018-035B,43287,R/B,,IND,4/11/2018,SRILR,,310.83,19.04,17406,237,,,EA,ORB
PSLV R/B,2018-071C,43620,R/B,,IND,9/16/2018,SRILR,,96.03,97.44,587,549,,,EA,ORB
GSAT-29,2018-089A,43698,PAY,+,IND,11/14/2018,SRILR,,1436.09,0.08,35802,35771,,,EA,ORB
GSLV R/B,2018-089B,43699,R/B,D,IND,11/14/2018,SRILR,5/12/2019,99.08,21.33,1341,88,,,EA,IMP
HYSIS,2018-096A,43719,PAY,+,IND,11/29/2018,SRILR,,97.39,98.01,634,633,,,EA,ORB
PSLV R/B,2018-096W,43739,R/B,D,IND,11/29/2018,SRILR,6/1/2023,87.48,97.31,159,140,,,EA,IMP
GSAT-11,2018-100B,43824,PAY,+,IND,12/4/2018,FRGUI,,1436.1,0.09,35794,35779,,,EA,ORB
GSAT-7A,2018-105A,43864,PAY,+,IND,12/19/2018,SRILR,,1436.1,0.02,35797,35776,,,EA,ORB
GSLV R/B,2018-105B,43865,R/B,D,IND,12/19/2018,SRILR,4/5/2019,91.16,19.41,568,96,,,EA,IMP
MICROSAT-R,2019-006A,43947,PAY,D,IND,1/24/2019,SRILR,7/23/2019,87.5,96.61,163,138,,,EA,IMP
KALAMSAT-V2 & PSLV R/B,2019-006B,43948,PAY,D,IND,1/24/2019,SRILR,12/21/2023,87.22,98.76,139,134,,,EA,IMP
GSAT-31,2019-007B,44035,PAY,+,IND,2/5/2019,FRGUI,,1436.1,0.04,35812,35761,,,EA,ORB
EMISAT,2019-018A,44078,PAY,+,IND,4/1/2019,SRILR,,99.75,98.49,761,733,,,EA,ORB
AIS & APRS & ARIS & PSLV R/B,2019-018AC,44104,PAY,D,IND,4/1/2019,SRILR,6/30/2024,86.51,97.33,110,92,,,EA,IMP
MICROSAT-R DEB,2019-006C,44117,DEB,D,IND,1/24/2019,SRILR,12/22/2019,89.41,95.22,278,213,,,EA,IMP
MICROSAT-R DEB,2019-006D,44118,DEB,D,IND,1/24/2019,SRILR,4/10/2019,91.6,96.12,447,259,,,EA,IMP
MICROSAT-R DEB,2019-006E,44119,DEB,D,IND,1/24/2019,SRILR,4/5/2019,91.11,94.92,451,206,,,EA,IMP
MICROSAT-R DEB,2019-006F,44120,DEB,D,IND,1/24/2019,SRILR,7/10/2019,89.17,95.48,283,185,,,EA,IMP
MICROSAT-R DEB,2019-006G,44121,DEB,D,IND,1/24/2019,SRILR,5/1/2019,89.09,95.55,263,196,,,EA,IMP
MICROSAT-R DEB,2019-006H,44122,DEB,D,IND,1/24/2019,SRILR,4/22/2019,94.14,95.6,681,273,,,EA,IMP
MICROSAT-R DEB,2019-006J,44123,DEB,D,IND,1/24/2019,SRILR,5/19/2019,88.5,96.9,222,180,,,EA,IMP
MICROSAT-R DEB,2019-006K,44124,DEB,D,IND,1/24/2019,SRILR,4/13/2019,88.62,95.5,228,185,,,EA,IMP
MICROSAT-R DEB,2019-006L,44125,DEB,D,IND,1/24/2019,SRILR,4/17/2019,91.92,95.42,488,249,,,EA,IMP
MICROSAT-R DEB,2019-006M,44126,DEB,D,IND,1/24/2019,SRILR,5/2/2019,92.72,95.45,555,260,,,EA,IMP
MICROSAT-R DEB,2019-006N,44127,DEB,D,IND,1/24/2019,SRILR,4/10/2019,92.32,96.07,504,272,,,EA,IMP
MICROSAT-R DEB,2019-006P,44128,DEB,D,IND,1/24/2019,SRILR,5/4/2019,88.24,96.26,204,170,,,EA,IMP
MICROSAT-R DEB,2019-006Q,44129,DEB,D,IND,1/24/2019,SRILR,4/13/2019,88.38,96.22,209,179,,,EA,IMP
MICROSAT-R DEB,2019-006R,44130,DEB,D,IND,1/24/2019,SRILR,11/14/2019,87.93,96.29,184,159,,,EA,IMP
MICROSAT-R DEB,2019-006S,44131,DEB,D,IND,1/24/2019,SRILR,7/27/2019,93.37,95.48,867,13,,,EA,IMP
MICROSAT-R DEB,2019-006T,44132,DEB,D,IND,1/24/2019,SRILR,4/4/2019,89.31,96.4,255,226,,,EA,IMP
MICROSAT-R DEB,2019-006U,44133,DEB,D,IND,1/24/2019,SRILR,11/21/2019,87.56,96.43,160,148,,,EA,IMP
MICROSAT-R DEB,2019-006V,44134,DEB,D,IND,1/24/2019,SRILR,4/16/2021,88.83,96.02,243,191,,,EA,IMP
MICROSAT-R DEB,2019-006W,44135,DEB,D,IND,1/24/2019,SRILR,4/9/2019,90.95,96.21,381,261,,,EA,IMP
MICROSAT-R DEB,2019-006X,44136,DEB,D,IND,1/24/2019,SRILR,5/15/2019,89.97,94.54,320,226,,,EA,IMP
MICROSAT-R DEB,2019-006Y,44137,DEB,D,IND,1/24/2019,SRILR,4/6/2019,90.72,96.15,355,264,,,EA,IMP
MICROSAT-R DEB,2019-006Z,44138,DEB,D,IND,1/24/2019,SRILR,4/9/2019,87.29,96.65,166,115,,,EA,IMP
MICROSAT-R DEB,2019-006AA,44139,DEB,D,IND,1/24/2019,SRILR,4/11/2019,88.34,95.44,214,171,,,EA,IMP
MICROSAT-R DEB,2019-006AB,44140,DEB,D,IND,1/24/2019,SRILR,7/8/2019,88.46,95.56,210,187,,,EA,IMP
MICROSAT-R DEB,2019-006AC,44141,DEB,D,IND,1/24/2019,SRILR,6/30/2019,88.31,96.05,203,179,,,EA,IMP
MICROSAT-R DEB,2019-006AD,44142,DEB,D,IND,1/24/2019,SRILR,11/26/2019,88.66,96.51,234,182,,,EA,IMP
MICROSAT-R DEB,2019-006AE,44143,DEB,D,IND,1/24/2019,SRILR,4/5/2019,88.26,96.78,201,176,,,EA,IMP
